julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
03.05.2017;tuntematon;AC220V, GU10;DR-7W-GU10, 220V;Lamput;LED-lamppu;;Sähköisku;Palautusmenettely;JAT-20170105-05;http://marek.tukes.fi/Tuote.aspx?kuvaid=33984,http://marek.tukes.fi/Tuote.aspx?kuvaid=33978,http://marek.tukes.fi/Tuote.aspx?kuvaid=33983;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Ledlinja Oy ,Maahantuoja,Satakunnantie 13,32200,LOIMAA;;Lamppu on avattavissa ilman työkaluja. Avaamisen jälkeen jännitteiset osat ovat kosketeltavissa. Lampun eristys vaarallisesta verkkojännitteestä on riittämätön ja jännitelujuuskokeessa tapahtui läpilyönti. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 62560 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
03.05.2017;Travel Charger;Rechargeable flood light series (latauslaite: FL);Valaisin: DS-20W, 30-42V, class III, IP65. Verkkoliitäntäkoje: 100-240V, 50/60Hz, 130mA, 8,4Vdc / 500mA, class II, IP20;Valaisimet ja valaisintarvikkeet;Valonheitin LED, ladattava;;Sähköisku;Palautusmenettely;JAT-20170105-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=34005,http://marek.tukes.fi/Tuote.aspx?kuvaid=34000,http://marek.tukes.fi/Tuote.aspx?kuvaid=34003;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Ledlinja Oy ,Maahantuoja,Satakunnantie 13,32200,LOIMAA;;Tuotteen latauslaitteen eristys vaarallisesta verkkojännitteestä on riittämätön. Latauslaite ei kestänyt jännitelujuuskoetta. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598-1 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
03.05.2017;54-Key Electronic Keyboard;HS-5416B/HS-5416 (pakkauksessa), LJ-06A0900500Z muuntaja;Verkkoliitäntäkoje: Input: 100-240V~, 50/60Hz, 0,3A, IP40, class II, Output: 9VDC, 0,5A;Viihde-elektroniikka;Kosketinsoitin;6438014137469;Sähköisku;Myyntikielto;YNS-20170123-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=34054,http://marek.tukes.fi/Tuote.aspx?kuvaid=34053,http://marek.tukes.fi/Tuote.aspx?kuvaid=34055;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;J. Kärkkäinen Oy (Suomi Trading),Maahantuoja,Ollilanojankatu 2,84100,YLIVIESKA;;Tuotteen latauslaitteen eristys vaarallisesta verkkojännitteestä on riittämätön. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 61558 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
03.05.2017;Shenzhen Sunlight Electronic (Uovision 133672 (90-054);GA060020E;Input: 100-240V~, 50/60Hz, 0,40A  Class II, Output: 6,0VDC, 2,0A;Verkkoliitäntäkojeet ja lataus;Latauslaite;12699954000;Sähköisku;Myyntikielto;YNS-20170210-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=34102,http://marek.tukes.fi/Tuote.aspx?kuvaid=34100,http://marek.tukes.fi/Tuote.aspx?kuvaid=34101;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Euromoro Oy ,Maahantuoja,Kankaistentie 4,51200,KANGASNIEMI;;Eristys verkkojännitteen ja kosketeltavan toisioliittimen välillä on riittämätön. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60065 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
03.05.2017;CRX3205;CRX3205 (90B02);DB-20W, 220-240V, 50Hz, class I, IP65;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;6418914916524;Sähköisku;Markkinoilta poisto;YNS-20170119-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33950,http://marek.tukes.fi/Tuote.aspx?kuvaid=33946,http://marek.tukes.fi/Tuote.aspx?kuvaid=33947;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Isojoen Konehalli Oy ,Maahantuoja,Keskustie 26,61850,KAUHAJOKI AS;;Suihkuvesikokeessa (IPX5) pääsi valaisimen kytkentäkoteloon vettä. Valaisimessa ei ole vedenpoistoaukkoja, joten valaisimeen ei saa päästä vettä. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
27.04.2017;Power Supply;PS-Birdus (verkkoliitäntäkoje: PS-3015A);Class III, 6VDC;Maatalouslaitteet;Eläintenkarkotin;5014055003287;Sähköisku;Palautusmenettely;JAT-20170201-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=34047,http://marek.tukes.fi/Tuote.aspx?kuvaid=34044,http://marek.tukes.fi/Tuote.aspx?kuvaid=34046,http://marek.tukes.fi/Tuote.aspx?kuvaid=34045;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Proviter Oy ,Maahantuoja,Tullikatu 12 A 4,21100,NAANTALI;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=3738;Verkkoliitäntäkojeen muuntajan ensiö- ja toisiokäämien välinen eristys ei täytä vahvistetulle eristykselle asetettuja vaatimuksia. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60335 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
27.04.2017;M8S PLUS ANDROID TV BOX 2016;OTT TV Box 4k;Input 100-240V, 0,3A, 50/60Hz. Output: 5V, 2500mA;Viihde-elektroniikka;Mediatoistin;;Sähköisku;Palautusmenettely;JAT-20170112-05;http://marek.tukes.fi/Tuote.aspx?kuvaid=33924,http://marek.tukes.fi/Tuote.aspx?kuvaid=33922,http://marek.tukes.fi/Tuote.aspx?kuvaid=33923;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Online Sales Research ry TV-tikku.com,Nettikauppias,Pirttikatu 11 C 15 ,33560,TAMPERE;;Verkkoliitäntäkojeen muuntajan ensiö- ja toisiokäämien välinen eristys ei täytä vahvistetulle eristykselle asetettuja vaatimuksia. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60065 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
27.04.2017;Lena Lighting;Future Ball 20W grey;DS-20W, 230V, 50Hz, class I, IP54;Valaisimet ja valaisintarvikkeet;Työmaavalaisin;5905963619007;Sähköisku;Markkinoilta poisto;YNS-20170131-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33990,http://marek.tukes.fi/Tuote.aspx?kuvaid=33985,http://marek.tukes.fi/Tuote.aspx?kuvaid=33987;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Isojoen Konehalli Oy ,Maahantuoja,Keskustie 26,61850,KAUHAJOKI AS;;Valaisimen liitäntäjohto (XUANSHI H07RN-F 3G1,5 mm²) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa.Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta. Päätös koskee valaisinta, joka on varustettu liitäntäjohdolla XUANSHI H07RN-F 3G1,5 mm².
27.04.2017;LED´s light;300301;DS-30W, 220-240V, IP44, Class I;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;8718692540705;Sähköisku;Markkinoilta poisto;YNS-20170109-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33904,http://marek.tukes.fi/Tuote.aspx?kuvaid=33900,http://marek.tukes.fi/Tuote.aspx?kuvaid=33901;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Nedis Oy ,Maahantuoja,Myllypuronkatu 8,57220,SAVONLINNA;;Valonheitin ei täytä kotelointiluokan IPX4 (roiskevesikoe) vaatimuksia. Valonheitin ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
27.04.2017;Fusion;Tx/Rx NX83 / FS-NX83E;Class II, IPX0, Input: 110-240VAC, 0,4 A, Output: 9,6VDC, 750mA;Verkkoliitäntäkojeet ja lataus;Latauslaite;5060177195287;Sähköisku;Markkinoilta poisto;JAT-20161201-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=33945,http://marek.tukes.fi/Tuote.aspx?kuvaid=33943,http://marek.tukes.fi/Tuote.aspx?kuvaid=33944;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;J. Kärkkäinen Oy (Suomi Trading),Maahantuoja,Ollilanojankatu 2,84100,YLIVIESKA;;latauslaite ei täytä tuot standardin mukaisia jännitelujuusvaatimuksia. Latauslaite ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60335 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
27.04.2017;ElectroGEAR 2541;2541 / PTC17;230 V~50 HZ, 1400 W, class II, IPX0;Kotitalouslaitteet;Auton sisätilanlämmitin;6438140025418;Sähköisku,Palo;Markkinoilta poisto;YNS-20161130-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33821,http://marek.tukes.fi/Tuote.aspx?kuvaid=33819,http://marek.tukes.fi/Tuote.aspx?kuvaid=33820,http://marek.tukes.fi/Tuote.aspx?kuvaid=33822;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Kauppahuone Harju Oy ,Maahantuoja,Myllypuronkatu 30,33330,TAMPERE;;Sisätilanlämmittimen liitäntäjohto (QINOPU H05RN-F 2X0,75 mm²) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa. Sisätilanlämmittimen ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 50408 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
27.04.2017;Grundig;50934;Sisäämeno: 100-240 VAC, 50/60 Hz, 150 mA, lk II, Ulostulo: 5.0 V d.c., 1 A;Verkkoliitäntäkojeet ja lataus;Latauslaite, USB;8711252509341;Sähköisku;Myyntikielto;JAT-20161011-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33220,http://marek.tukes.fi/Tuote.aspx?kuvaid=33217,http://marek.tukes.fi/Tuote.aspx?kuvaid=33218;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Tampereen Säästö-Tex Oy ,Maahantuoja,Teollisuuskatu 5,95420,TORNIO;;Latauslaitteen muuntajan eristykset eivät täytä asetettuja vaatimuksia.Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60065 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
28.04.2017;Blue Import Bim/;5693/PO4476, Kaapeli: H05RR-F, Ningbo Xuanhua Electric 3x1,5mm²;16 A, 250 V ~, IP44, 2P+suojakosketin, kaapeli H05RR-F 3G1,5 mm², pituus 5 m;Asennustarvikkeet, kaapelit, komponentit;Auton lämmittimen liitäntäjohto;6430050627379;Sähköisku;Markkinoilta poisto;YNS-20170123-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33881,http://marek.tukes.fi/Tuote.aspx?kuvaid=33877,http://marek.tukes.fi/Tuote.aspx?kuvaid=33878;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Blue Import BIM Oy ,Maahantuoja,Hampuntie 12-14,36220,KANGASALA;;Auton lämmittimen liitäntäkaapeli (H05RR-F 3G1,5mm² Ningbo Xuanhua Electric) ei kestä standardien EN 50525-2-21 ja SFS 6000-7-753 mukaista taivutuskoetta alhaisessa lämpötilassa (-50°C). Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan standardin SFS 6000-7-753 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
28.04.2017;Blue Import Bim / Ningbo Xuanhua Electric Co. Ltd (johto);5694/PO4310 / H05RR-F 3x1,5mm2 (johto), 10m;16 A, 250 V ~, IP44, 2P+suojakosketin, kaapeli H05RR-F 3G1,5 mm², pituus 10 m;Asennustarvikkeet, kaapelit, komponentit;Auton lämmittimen liitäntäjohto;6430050627386;Sähköisku;Markkinoilta poisto;YNS-20170110-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33428,http://marek.tukes.fi/Tuote.aspx?kuvaid=33426,http://marek.tukes.fi/Tuote.aspx?kuvaid=33427;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Blue Import BIM Oy ,Maahantuoja,Hampuntie 12-14,36220,KANGASALA;;Auton lämmittimen liitäntäkaapeli (H05RR-F 3G1,5mm² Ningbo Xuanhua Electric) ei kestä standardien EN 50525-2-21 ja SFS 6000-7-753 mukaista taivutuskoetta alhaisessa lämpötilassa (-50°C). Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan standardin SFS 6000-7-753 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
28.04.2017;Blue Import Bim;6517/PO5060, Kaapeli: H05RR-F, Ningbo Xuanhua Electric 3x1,5mm², 5m;16 A, 250 V ~, IP44, 2P+suojakosketin, kaapeli H05RR-F 3G1,5 mm², pituus 5 m;Asennustarvikkeet, kaapelit, komponentit;Auton lämmittimen liitäntäjohto;6430058415176;Sähköisku;Markkinoilta poisto;YNS-20170124-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=33918,http://marek.tukes.fi/Tuote.aspx?kuvaid=33914,http://marek.tukes.fi/Tuote.aspx?kuvaid=33915;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Blue Import BIM Oy ,Maahantuoja,Hampuntie 12-14,36220,KANGASALA;;Auton lämmittimen liitäntäkaapeli (H05RR-F 3G1,5mm² Ningbo Xuanhua Electric) ei kestä standardien EN 50525-2-21 ja SFS 6000-7-753 mukaista taivutuskoetta alhaisessa lämpötilassa (-50°C). Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan standardin SFS 6000-7-753 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
28.04.2017;Finlight (GT- Energiansäästöputki);GT-150;36W-G13, 220-240V, 50-60Hz, 0,16A;Valaisimet ja valaisintarvikkeet;Loistelamppu;;Sähköisku;Palautusmenettely;YNS-20170124-07;http://marek.tukes.fi/Tuote.aspx?kuvaid=35392,http://marek.tukes.fi/Tuote.aspx?kuvaid=33960,http://marek.tukes.fi/Tuote.aspx?kuvaid=33961;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Finlight Group Oy ,Maahantuoja,Kaukolantie 4 B,37830,VIIALA;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2720,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2721;Lampun (putken) toisesta päästä voi saada sähköiskun putkenvaihdon yhteydessä, kun toinen pää on kiinnitetty jännitteiseen lampunpitimeen. Lampun massa ylittää G13 lampunpitimelle sallitun maksimimäärän. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 62776 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
28.04.2017;Finlight (GT+ Energiansäästöputki);GT+150;36W-G13, 220-240V, 50-60Hz, 0,16A;Valaisimet ja valaisintarvikkeet;Loistelamppu;;Palo,Sähköisku;Palautusmenettely;YNS-20170124-06;http://marek.tukes.fi/Tuote.aspx?kuvaid=33959,http://marek.tukes.fi/Tuote.aspx?kuvaid=33956,http://marek.tukes.fi/Tuote.aspx?kuvaid=33958;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Finlight Group Oy ,Maahantuoja,Kaukolantie 4 B,37830,VIIALA;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2722,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2723;Lampun (putken) toisesta päästä voi saada sähköiskun putkenvaihdon yhteydessä, kun toinen pää on kiinnitetty jännitteiseen lampunpitimeen. Lampun massa ylittää G13 lampunpitimelle sallitun maksimimäärän.Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 62776 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
28.04.2017;V-TAC;VT-4720 / SKU5357;DS-20W, 85-265V, 50/60Hz, Class I, IP65;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;3800230623393;Sähköisku;Markkinoilta poisto;JAT-20161216-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33856,http://marek.tukes.fi/Tuote.aspx?kuvaid=33852,http://marek.tukes.fi/Tuote.aspx?kuvaid=33853;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Focus Interiors Oy ,Maahantuoja,Kuusipolku 35,37150,NOKIA;;Valonheitin liitäntäjohto (Ningbo Dabu Electric Appliance Co. Ltd H05RN-F 3G0.75mm²) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa. Valonheitin ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
